RelativeTime_s,Player_Anim,Player_Anim_Hex,Target_Anim,Target_Anim_Hex
14.067,27111,0x69E7,2003015,0x1E9047
14.071,27111,0x69E7,2003015,0x1E9047
14.106,27111,0x69E7,2003015,0x1E9047
14.138,27111,0x69E7,2003015,0x1E9047
14.166,27111,0x69E7,2003015,0x1E9047
14.198,27111,0x69E7,2003015,0x1E9047
14.229,27111,0x69E7,2003015,0x1E9047
14.259,27111,0x69E7,2003015,0x1E9047
14.293,27111,0x69E7,2003015,0x1E9047
14.342,27111,0x69E7,2003015,0x1E9047
14.354,27111,0x69E7,2003015,0x1E9047
14.384,27111,0x69E7,2003015,0x1E9047
14.417,27111,0x69E7,2003015,0x1E9047
14.449,27111,0x69E7,2003015,0x1E9047
14.591,17052,0x429C,2003015,0x1E9047
14.602,17052,0x429C,2003015,0x1E9047
14.635,17052,0x429C,2003015,0x1E9047
14.666,17052,0x429C,2003015,0x1E9047
14.697,17052,0x429C,2003015,0x1E9047
14.728,17052,0x429C,2003015,0x1E9047
14.760,17052,0x429C,2003015,0x1E9047
14.790,17052,0x429C,2003015,0x1E9047
15.037,17052,0x429C,2003015,0x1E9047
15.170,17052,0x429C,2003015,0x1E9047
15.196,17052,0x429C,2003015,0x1E9047
15.228,17052,0x429C,2003015,0x1E9047
15.260,17052,0x429C,2003015,0x1E9047
15.293,17052,0x429C,2003015,0x1E9047
15.345,17052,0x429C,2003015,0x1E9047
15.356,17052,0x429C,2003015,0x1E9047
15.385,17052,0x429C,2003015,0x1E9047
15.419,17052,0x429C,2003015,0x1E9047
15.451,17052,0x429C,2003015,0x1E9047
15.480,17052,0x429C,2003015,0x1E9047
15.611,17052,0x429C,2003015,0x1E9047
15.636,17052,0x429C,2003015,0x1E9047
15.665,17052,0x429C,2003015,0x1E9047
15.699,17052,0x429C,2003015,0x1E9047
15.731,17052,0x429C,2003015,0x1E9047
15.763,17052,0x429C,2003015,0x1E9047
15.793,17052,0x429C,2003015,0x1E9047
15.844,17052,0x429C,2003015,0x1E9047
15.854,17052,0x429C,2003015,0x1E9047
15.886,17052,0x429C,2003015,0x1E9047
15.916,17052,0x429C,2003015,0x1E9047
15.949,17052,0x429C,2003015,0x1E9047
15.978,17052,0x429C,2003015,0x1E9047
16.010,17052,0x429C,2003015,0x1E9047
16.118,17052,0x429C,2003021,0x1E904D
16.136,17052,0x429C,2003021,0x1E904D
16.166,17052,0x429C,2003021,0x1E904D
16.198,17052,0x429C,2003021,0x1E904D
16.228,17052,0x429C,2003021,0x1E904D
16.260,17052,0x429C,2003021,0x1E904D
16.293,17052,0x429C,2003021,0x1E904D
16.346,17052,0x429C,2003021,0x1E904D
16.353,17052,0x429C,2003021,0x1E904D
16.384,17052,0x429C,2003021,0x1E904D
16.416,17052,0x429C,2003021,0x1E904D
16.446,17052,0x429C,2003021,0x1E904D
16.479,17052,0x429C,2003021,0x1E904D
16.512,17052,0x429C,2003021,0x1E904D
16.634,17052,0x429C,2003021,0x1E904D
16.637,17052,0x429C,2003021,0x1E904D
16.669,17052,0x429C,2003021,0x1E904D
16.700,17052,0x429C,2003021,0x1E904D
16.730,17052,0x429C,2003021,0x1E904D
16.763,17052,0x429C,2003021,0x1E904D
16.795,17052,0x429C,2003021,0x1E904D
16.850,17052,0x429C,2003021,0x1E904D
16.858,17052,0x429C,2003021,0x1E904D
16.885,17052,0x429C,2003021,0x1E904D
16.916,17052,0x429C,2003021,0x1E904D
16.948,17052,0x429C,2003021,0x1E904D
16.981,17052,0x429C,2003021,0x1E904D
17.010,17052,0x429C,2003021,0x1E904D
17.041,17052,0x429C,2003021,0x1E904D
17.163,17052,0x429C,2003021,0x1E904D
17.169,17052,0x429C,2003021,0x1E904D
17.200,17052,0x429C,2003021,0x1E904D
17.234,17052,0x429C,2003021,0x1E904D
17.262,17052,0x429C,2003021,0x1E904D
17.295,17052,0x429C,2003021,0x1E904D
17.341,17052,0x429C,2003021,0x1E904D
17.353,17052,0x429C,2003021,0x1E904D
17.387,17052,0x429C,2003021,0x1E904D
17.419,17052,0x429C,2003021,0x1E904D
17.448,17052,0x429C,2003021,0x1E904D
17.478,17052,0x429C,2003021,0x1E904D
17.509,18002,0x4652,2003021,0x1E904D
17.540,18002,0x4652,2003021,0x1E904D
17.657,18002,0x4652,2003021,0x1E904D
17.667,18002,0x4652,2003021,0x1E904D
17.699,18002,0x4652,2003021,0x1E904D
17.728,18002,0x4652,2003021,0x1E904D
17.759,18002,0x4652,2003021,0x1E904D
17.793,18002,0x4652,2003021,0x1E904D
17.844,18002,0x4652,2003021,0x1E904D
17.853,18002,0x4652,2003021,0x1E904D
17.886,18002,0x4652,2003021,0x1E904D
17.918,18002,0x4652,2003021,0x1E904D
17.949,18002,0x4652,2003021,0x1E904D
17.980,18002,0x4652,2003021,0x1E904D
18.014,18002,0x4652,2003021,0x1E904D
